2025-03-14 09:12:47.482 [main] INFO  c.e.J.s.SentimentAnalysisServiceTest - Starting SentimentAnalysisServiceTest using Java 17.0.10 with PID 2556 (started by erpri in D:\Prince\Workspace\CodeBaseLearning\codeBasedLearning\SpringBoot_E_Digest\04_JournalApp\JournalAppWithMongoDB)
2025-03-14 09:12:47.485 [main] INFO  c.e.J.s.SentimentAnalysisServiceTest - No active profile set, falling back to 1 default profile: "default"
2025-03-14 09:12:48.314 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2025-03-14 09:12:48.381 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 62 ms. Found 2 MongoDB repository interfaces.
2025-03-14 09:12:48.965 [cluster-ClusterId{value='67d3a5b8e7c88f5dacee23d4', description='Cluster0'}-srv-cluster0.5kijm.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.5kijm.mongodb.net:27017 to client view of cluster
2025-03-14 09:12:48.989 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.10+11-LTS-240"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='erhimanshu924', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@519c6fcc, com.mongodb.Jep395RecordCodecProvider@6ad1701a, com.mongodb.KotlinCodecProvider@7ecda95b]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.5kijm.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-sva256-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
2025-03-14 09:12:49.007 [cluster-ClusterId{value='67d3a5b8e7c88f5dacee23d4', description='Cluster0'}-srv-cluster0.5kijm.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.5kijm.mongodb.net:27017 to client view of cluster
2025-03-14 09:12:49.010 [cluster-ClusterId{value='67d3a5b8e7c88f5dacee23d4', description='Cluster0'}-srv-cluster0.5kijm.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.5kijm.mongodb.net:27017 to client view of cluster
2025-03-14 09:12:49.451 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 7. Remaining time: 30000 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=cluster0-shard-00-00.5kijm.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-01.5kijm.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-02.5kijm.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
2025-03-14 09:12:49.552 [cluster-ClusterId{value='67d3a5b8e7c88f5dacee23d4', description='Cluster0'}-cluster0-shard-00-00.5kijm.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.5kijm.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=318144700, setName='atlas-sva256-shard-0', canonicalAddress=cluster0-shard-00-00.5kijm.mongodb.net:27017, hosts=[cluster0-shard-00-00.5kijm.mongodb.net:27017, cluster0-shard-00-02.5kijm.mongodb.net:27017, cluster0-shard-00-01.5kijm.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.5kijm.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=67d19c2a9350af3e5030e5bf, counter=4}, lastWriteDate=Fri Mar 14 09:12:33 IST 2025, lastUpdateTimeNanos=1712403837800}
2025-03-14 09:12:49.552 [cluster-ClusterId{value='67d3a5b8e7c88f5dacee23d4', description='Cluster0'}-cluster0-shard-00-01.5kijm.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.5kijm.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=321987900, setName='atlas-sva256-shard-0', canonicalAddress=cluster0-shard-00-01.5kijm.mongodb.net:27017, hosts=[cluster0-shard-00-00.5kijm.mongodb.net:27017, cluster0-shard-00-02.5kijm.mongodb.net:27017, cluster0-shard-00-01.5kijm.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.5kijm.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=67d1a164ac90be84878f3797, counter=3}, lastWriteDate=Fri Mar 14 09:12:33 IST 2025, lastUpdateTimeNanos=1712403776100}
2025-03-14 09:12:49.553 [cluster-ClusterId{value='67d3a5b8e7c88f5dacee23d4', description='Cluster0'}-cluster0-shard-00-02.5kijm.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.5kijm.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=322007900, setName='atlas-sva256-shard-0', canonicalAddress=cluster0-shard-00-02.5kijm.mongodb.net:27017, hosts=[cluster0-shard-00-00.5kijm.mongodb.net:27017, cluster0-shard-00-02.5kijm.mongodb.net:27017, cluster0-shard-00-01.5kijm.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.5kijm.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000008b, setVersion=1, topologyVersion=TopologyVersion{processId=67d19f6c1f0c956a9930995c, counter=6}, lastWriteDate=Fri Mar 14 09:12:33 IST 2025, lastUpdateTimeNanos=1712403823500}
2025-03-14 09:12:49.556 [cluster-ClusterId{value='67d3a5b8e7c88f5dacee23d4', description='Cluster0'}-cluster0-shard-00-02.5kijm.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-02.5kijm.mongodb.net:27017 with max election id 7fffffff000000000000008b and max set version 1
2025-03-14 09:12:50.174 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
2025-03-14 09:12:50.861 [main] INFO  c.e.J.s.SentimentAnalysisServiceTest - Started SentimentAnalysisServiceTest in 3.815 seconds (process running for 4.8)
